LFQ intensity 1_1	LFQ intensity 1_2	LFQ intensity 1_3	LFQ intensity 1_4	LFQ intensity 1_5	LFQ intensity 1_6	LFQ intensity 10_1	LFQ intensity 10_2	LFQ intensity 10_3	LFQ intensity 10_4	LFQ intensity 10_5	LFQ intensity 10_6	LFQ intensity 4_1	LFQ intensity 4_2	LFQ intensity 4_3	LFQ intensity 4_4	LFQ intensity 4_5	LFQ intensity 4_6	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant fold10_fold1	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value fold10_fold1	Student's T-test q-value fold10_fold1	Student's T-test Difference fold10_fold1	Student's T-test Test statistic fold10_fold1	Protein IDs	Majority protein IDs	id
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.33080864						1	1	1	2.2	2.2	2.2	87.988	0	11.266	501370000	25	NaN	NaN	0	NaN	sp|Q8IX94|CTGE4_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|A4D2H0|CTGEF_HUMAN;sp|Q96PC5|MIA2_HUMAN	sp|Q8IX94|CTGE4_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|A4D2H0|CTGEF_HUMAN;sp|Q96PC5|MIA2_HUMAN	184
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.61486053						1	1	1	3.7	3.7	3.7	66.944	0	3.8535	10691000	6	NaN	NaN	0	NaN	sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN	sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN	185
0	26.1813736	26.22890663	26.44455338	25.53596687	26.34160423	25.82111549	25.57744217	25.62561226	25.86577797	25.53261185	25.65976143	26.00795746	25.73476982	26.02307892	25.83405304	25.91952515	26.11927605						3	3	3	1.5	1.5	1.5	293.88	0	5.9681	1496300000	75	0.405544101	0.441579579	3.891652743	0.892574319	sp|A6H8Y1|BDP1_HUMAN	sp|A6H8Y1|BDP1_HUMAN	186
24.84971619	24.63887215	24.10173416	0	24.08440018	24.049263	0	0	0	0	0	24.05804634	23.84842682	0	0	0	0	0				+	fold10_fold1	2	2	2	1.1	1.1	1.1	90.834	0	3.9043	164380000	23	1.765218732	0.030267091	-16.27765656	-2.852699791	sp|A6ND36|FA83G_HUMAN	sp|A6ND36|FA83G_HUMAN	188
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.07228088						1	1	1	2.5	2.5	2.5	71.695	0	9.8127	83996000	14	NaN	NaN	0	NaN	sp|A6NDB9|PALM3_HUMAN	sp|A6NDB9|PALM3_HUMAN	189
0	0	0	24.10836983	24.35729599	25.07916069	0	24.89924431	25.22875977	24.98845482	25.26288033	25.25187302	0	25.58141327	0	25.61099243	0	0						2	2	2	4.3	4.3	4.3	108.44	0	93.924	452560000	37	0.625408818	0.311991359	8.681064288	1.258167422	sp|A6NFI3|ZN316_HUMAN	sp|A6NFI3|ZN316_HUMAN	190
0	0	0	0	0	0	23.78586388	0	0	0	0	0	0	0	23.22532082	0	0	0						3	3	3	12	12	12	37.824	0	17.32	174050000	29	NaN	NaN	0	NaN	sp|A6NHT5|HMX3_HUMAN	sp|A6NHT5|HMX3_HUMAN	191
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.92509842	0						1	1	1	1.4	1.4	1.4	98.568	0	3.3257	19889000	7	NaN	NaN	0	NaN	sp|A6NI28|RHG42_HUMAN	sp|A6NI28|RHG42_HUMAN	192
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.04623604	0	0						1	1	1	0.9	0.9	0.9	188.26	0.00041632	2.4044	39079000	9	NaN	NaN	0	NaN	sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN	sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN	193
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.52008629	0						1	1	1	9.7	9.7	9.7	13.188	0.00041597	2.3871	35045000	14	NaN	NaN	0	NaN	sp|Q9BWD3|RTL8A_HUMAN;sp|Q17RB0|RTL8B_HUMAN;sp|A6ZKI3|RTL8C_HUMAN	sp|Q9BWD3|RTL8A_HUMAN;sp|Q17RB0|RTL8B_HUMAN;sp|A6ZKI3|RTL8C_HUMAN	194
0	0	0	0	0	22.70201683	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	2	2	2	197.3	0	8.2676	28197000	8	NaN	NaN	0	NaN	sp|A7E2V4|ZSWM8_HUMAN	sp|A7E2V4|ZSWM8_HUMAN	195
0	0	0	0	0	0	0	0	0	0	0	0	0	20.74591446	0	0	0	0						3	3	3	1.6	1.6	1.6	230.53	0	4.9215	118840000	14	NaN	NaN	0	NaN	sp|A7KAX9|RHG32_HUMAN	sp|A7KAX9|RHG32_HUMAN	196
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	1.4	1.4	1.4	152	0.00062112	2.3226	0	1	NaN	NaN	0	NaN	sp|A7MBM2|DISP2_HUMAN	sp|A7MBM2|DISP2_HUMAN	197
24.36892891	24.16545677	24.18548203	23.89105988	24.24198151	23.82405663	23.76860428	0	0	0	0	0	24.02631187	23.92043495	23.8331604	23.66144753	23.85290909	23.91396904				+	fold10_fold1	6	6	1	7.6	7.6	1.6	125.09	0	43.147	175020000	36	3.324379443	0.001069066	-20.15139357	-5.085689896	sp|A8CG34|P121C_HUMAN;sp|A6NF01|P121B_HUMAN;sp|Q6PJE2|POZP3_HUMAN	sp|A8CG34|P121C_HUMAN	198
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.59659767						1	1	1	2.2	2.2	2.2	47.989	0	2.7543	40931000	18	NaN	NaN	0	NaN	sp|Q9NQA3|WASH6_HUMAN;sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN;sp|A8K0Z3|WASH1_HUMAN;sp|A8MWX3|WASH4_HUMAN	sp|Q9NQA3|WASH6_HUMAN;sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN;sp|A8K0Z3|WASH1_HUMAN;sp|A8MWX3|WASH4_HUMAN	199
0	0	0	0	0	0	0	0	0	0	0	22.75676346	0	0	0	0	0	0						2	2	2	0.9	0.9	0.9	292.7	0	3.6535	75335000	11	NaN	NaN	0	NaN	sp|B2RTY4|MYO9A_HUMAN	sp|B2RTY4|MYO9A_HUMAN	200
0	0	0	0	0	23.28841591	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	2.9	2.9	2.9	53.479	0	59.825	28242000	6	NaN	NaN	0	NaN	sp|P0DPB3|SCHI1_HUMAN;sp|B3KU38|IQIP1_HUMAN	sp|P0DPB3|SCHI1_HUMAN;sp|B3KU38|IQIP1_HUMAN	201
29.91669846	31.23529243	31.22354507	31.17021179	31.07839203	31.30639076	30.51324081	30.60107422	30.70421219	30.63313484	30.52411842	30.53185272	30.92450714	30.91798019	30.98583412	31.08600616	31.08068085	31.02834892						8	8	8	13.7	13.7	13.7	105.34	0	164.46	31976000000	201	1.023835467	0.140437561	-0.403816223	-1.846026564	sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	202
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.26431274						1	1	1	13.4	13.4	13.4	10.92	0	26.972	567440000	19	NaN	NaN	0	NaN	sp|C9JLW8|MCRI1_HUMAN	sp|C9JLW8|MCRI1_HUMAN	203
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.70841026						1	1	1	18	18	18	14.632	0	25.221	1145000000	68	NaN	NaN	0	NaN	sp|Q01628|IFM3_HUMAN;sp|C9JQL5|DSA2D_HUMAN	sp|Q01628|IFM3_HUMAN;sp|C9JQL5|DSA2D_HUMAN	204
28.26981544	29.48245049	29.55681992	29.08732224	29.37786674	28.49174881	30.91484642	28.22816277	28.07255173	29.63386345	30.52383804	29.76244736	27.99792671	29.01299858	28.78322411	29.82180214	28.48608017	28.74855232						4	4	4	36.7	36.7	36.7	23.384	0	222.5	18043000000	789	0.416197154	0.434611602	0.478281021	0.911391751	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	205
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.34951591						1	1	1	4	4	4	72.911	0	17.377	95723000	26	NaN	NaN	0	NaN	sp|O00116|ADAS_HUMAN	sp|O00116|ADAS_HUMAN	208
0	0	0	0	0	25.578825	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	5	5	5	79.954	0	8.8149	39287000	1	NaN	NaN	0	NaN	sp|O00139|KIF2A_HUMAN	sp|O00139|KIF2A_HUMAN	209
25.06788254	25.6365509	26.0813961	26.1865406	26.01348305	25.94386864	25.51056671	25.78514099	25.48253059	25.92331696	25.78404236	25.38817787	26.25401878	26.00148582	25.82310867	25.80997467	25.98396301	25.99782944						3	3	3	10.8	10.8	10.8	49.129	0	40.989	1335100000	105	0.425008076	0.429314958	-0.175991058	-0.926853433	sp|O00148|DX39A_HUMAN	sp|O00148|DX39A_HUMAN	210
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.89896774						1	1	1	3.3	3.3	3.3	36.071	0	6.567	434550000	18	NaN	NaN	0	NaN	sp|O00151|PDLI1_HUMAN	sp|O00151|PDLI1_HUMAN	211
24.09659576	0	23.80960655	0	23.46101379	0	0	0	0	0	0	0	23.02666664	23.23955154	23.5002079	0	0	0						2	2	2	3	3	3	121.68	0	10.134	118230000	25	NaN	NaN	0	NaN	sp|O00159|MYO1C_HUMAN	sp|O00159|MYO1C_HUMAN	212
0	0	0	0	0	0	0	25.53412628	0	0	0	0	0	0	0	0	0	0						1	1	1	8.1	8.1	8.1	23.354	0	97.667	612000000	19	NaN	NaN	0	NaN	sp|O00161|SNP23_HUMAN	sp|O00161|SNP23_HUMAN	213
24.82658005	0	0	0	24.65987015	0	0	0	0	23.85880089	0	0	0	0	0	0	0	0						2	2	2	2.7	2.7	2.7	72.453	0	40.054	114670000	17	NaN	NaN	0	NaN	sp|O00178|GTPB1_HUMAN	sp|O00178|GTPB1_HUMAN	214
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.49370193						2	2	2	3.4	3.4	3.4	104.64	0	3.2333	5585200	2	NaN	NaN	0	NaN	sp|O00192|ARVC_HUMAN	sp|O00192|ARVC_HUMAN	215
27.25961494	31.42051315	31.1074295	31.36379814	31.41749763	31.38045883	30.64770126	30.60840797	30.72208023	30.69818115	30.65352249	30.54111671	29.04194832	31.04563713	31.165308	31.13461113	31.13038254	31.22250938						4	4	4	39.9	39.9	39.9	20.332	0	277.07	31622000000	117	0.006516309	0.992418281	-0.013050397	-0.019137792	sp|O00193|SMAP_HUMAN	sp|O00193|SMAP_HUMAN	216
0	28.98011017	28.88430977	28.89925575	28.72789955	28.92716599	28.55731392	28.68995857	28.72919846	28.72263336	28.69225502	28.60569	28.7265358	28.49224472	28.73534393	28.71053314	28.74502945	28.75795746						3	3	3	2.4	2.4	2.4	121.32	0	15.292	7042300000	59	0.441042458	0.416551765	4.596384684	0.954762711	sp|O00203|AP3B1_HUMAN	sp|O00203|AP3B1_HUMAN	217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.01285744	0						1	1	1	3.5	3.5	3.5	77.243	0	9.511	32014000	5	NaN	NaN	0	NaN	sp|O00213|APBB1_HUMAN	sp|O00213|APBB1_HUMAN	218
0	29.03813171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						2	2	2	10.7	10.7	10.7	47.463	0	86.47	4089600000	15	NaN	NaN	0	NaN	sp|O00231|PSD11_HUMAN	sp|O00231|PSD11_HUMAN	219
0	24.83720779	25.55835724	0	0	24.94966888	0	0	0	0	0	0	0	0	0	0	0	0						5	5	5	16.9	16.9	16.9	52.904	0	40.136	184150000	26	NaN	NaN	0	NaN	sp|O00232|PSD12_HUMAN	sp|O00232|PSD12_HUMAN	220
0	24.56284714	24.6327858	24.42053413	24.46780777	24.62989807	0	0	0	0	0	0	0	0	0	0	23.81058884	0						3	3	3	7.5	7.5	7.5	61.367	0	13.901	176830000	26	NaN	NaN	0	NaN	sp|O00257|CBX4_HUMAN	sp|O00257|CBX4_HUMAN	221
32.76594162	32.5005455	32.73577881	32.80149078	32.80120087	32.85155106	32.51154327	32.4957428	32.54908371	32.47486496	32.43467331	32.5349617	32.68695831	32.71163559	32.73519516	32.74927139	32.7127037	32.59450531				+	fold10_fold1	4	4	4	37.4	37.4	37.4	21.671	0	149.75	1.0384E+11	151	2.951663671	0.002405257	-0.242606481	-4.51453702	sp|O00264|PGRC1_HUMAN	sp|O00264|PGRC1_HUMAN	222
0	0	0	0	0	0	0	0	0	0	0	24.08691216	0	0	24.37464523	0	0	0						2	2	2	4	4	4	121	0	16.818	250700000	21	NaN	NaN	0	NaN	sp|O00267|SPT5H_HUMAN	sp|O00267|SPT5H_HUMAN	223
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.60455894						1	1	1	3.3	3.3	3.3	36.521	0	2.8366	1107700000	25	NaN	NaN	0	NaN	sp|O00273|DFFA_HUMAN	sp|O00273|DFFA_HUMAN	224
26.54611588	25.9168644	26.3036499	26.13328171	26.39080429	26.32721329	26.3341713	25.85379028	26.33210564	26.25591087	26.25427246	26.20748901	26.22595024	25.93571091	25.94205666	25.83376312	26.15944481	26.31222916						4	4	4	30.7	30.7	30.7	26.922	0	81.603	1350500000	60	0.225381608	0.635308905	-0.063364983	-0.548866289	sp|O00299|CLIC1_HUMAN	sp|O00299|CLIC1_HUMAN	225
0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.97893333	0	0	0						1	1	1	10.1	10.1	10.1	37.563	0	24.507	42063000	2	NaN	NaN	0	NaN	sp|O00303|EIF3F_HUMAN	sp|O00303|EIF3F_HUMAN	226
0	0	0	0	21.91122818	0	0	21.51171494	0	0	0	0	0	0	0	0	0	0						2	2	2	1.5	1.5	1.5	60.908	0	3.2465	39036000	15	NaN	NaN	0	NaN	sp|O00400|ACATN_HUMAN	sp|O00400|ACATN_HUMAN	229
0	0	0	0	0	0	26.21063042	26.10467529	0	26.2897892	26.23401642	26.20101357	0	0	25.71101189	25.62775803	0	0						2	2	2	6.5	6.5	6.5	54.826	0	8.2218	1029400000	29	NaN	NaN	0	NaN	sp|O00401|WASL_HUMAN	sp|O00401|WASL_HUMAN	230
0	27.89642906	28.02569962	28.67741013	0	27.97771072	26.65171051	0	0	0	0	26.89411736	28.03637695	27.82012939	27.8477459	0	0	0						5	5	5	11.9	11.9	11.9	123.63	0	55.733	2309000000	33	0.589532913	0.330604271	-9.838570277	-1.201293966	sp|O00410|IPO5_HUMAN	sp|O00410|IPO5_HUMAN	231
0	26.39897919	0	25.78219223	26.21439743	26.58749199	0	0	0	0	0	0	26.09325409	26.23622513	26.35075378	26.221735	0	26.10713387						4	4	4	6.9	6.9	6.9	82.143	0	15.156	1342900000	75	NaN	NaN	0	NaN	sp|O00418|EF2K_HUMAN	sp|O00418|EF2K_HUMAN	232
0	0	0	0	21.97599792	0	0	0	0	0	0	0	0	0	0	0	0	0						2	2	2	15.7	15.7	15.7	17.561	0	3.1975	22255000	8	NaN	NaN	0	NaN	sp|O00422|SAP18_HUMAN	sp|O00422|SAP18_HUMAN	233
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.4623394	0						1	1	1	1.6	1.6	1.6	63.704	0.0028152	1.9551	16429000	8	NaN	NaN	0	NaN	sp|O00425|IF2B3_HUMAN	sp|O00425|IF2B3_HUMAN	234
28.17245483	28.06059456	28.05806732	27.90930557	27.73376083	28.48558235	25.45516205	25.56938171	25.80242729	27.39599228	25.83667946	25.76420593	27.3972168	27.10569572	28.01345062	27.0499897	26.3363018	27.10928726				+	fold10_fold1	4	4	4	7.3	7.3	7.3	81.876	0	44.549	2752300000	77	4.317683221	0.000135865	-2.099319458	-6.787877789	sp|O00429|DNM1L_HUMAN	sp|O00429|DNM1L_HUMAN	235
0	24.35326385	24.57623291	24.42739105	24.54427528	24.43879318	23.91843414	23.77906418	23.81342888	24.02926445	24.09152031	23.99851799	24.19099236	24.51159286	24.30403328	24.27568626	24.31070518	0						4	4	4	3	3	3	190.68	0	12.33	309520000	38	0.392884607	0.453078532	3.548378944	0.870031727	sp|O00443|P3C2A_HUMAN	sp|O00443|P3C2A_HUMAN	236
24.29445839	24.18404388	25.79136467	25.70667267	0	0	25.22284126	25.20288277	25.11850548	25.19573021	25.07463455	25.0315361	25.63381004	25.3893261	25.75401878	0	25.67702103	25.42354965						2	2	2	6.6	6.6	6.6	72.324	0	41.601	662150000	46	0.856414503	0.193454559	8.478265127	1.60677954	sp|O00472|ELL2_HUMAN	sp|O00472|ELL2_HUMAN	237
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.71598816						1	1	1	12.2	12.2	12.2	9.5388	0	3.8781	15988000	7	NaN	NaN	0	NaN	sp|O00479|HMGN4_HUMAN	sp|O00479|HMGN4_HUMAN	238
27.47282028	27.64546967	27.93094826	27.89521599	27.71423912	27.86932564	27.6790905	27.40940857	27.39664459	27.80316544	27.82493019	27.32010269	27.98375702	27.93438339	27.95060349	27.82632637	27.86484528	27.78063011						4	4	4	9.8	9.8	9.8	64.699	0	208.7	5117100000	167	0.82944896	0.20393294	-0.182446162	-1.567368506	sp|O00499|BIN1_HUMAN	sp|O00499|BIN1_HUMAN	239
0	29.34180832	29.08737373	29.16736794	29.41473961	29.26738358	29.0623455	29.19319344	29.17657471	29.53220558	29.14795113	28.99636459	29.42856216	29.46121407	28.83328056	28.87361336	29.33992004	28.38129425						4	4	4	10.9	10.9	10.9	57.81	0	135.23	9652600000	85	0.458763923	0.403931209	4.804993629	0.985279609	sp|O00505|IMA4_HUMAN	sp|O00505|IMA4_HUMAN	240
25.61073875	25.7092247	25.4431324	25.43447113	25.59786987	25.4644146	25.03052711	25.15765381	25.11648369	25.18861771	25.19245911	25.07365608	25.45035553	25.16338539	25.32769394	25.27027893	25.26054955	25.27337646				+	fold10_fold1	6	6	6	6.9	6.9	6.9	149.29	0	26.159	653310000	57	4.859679181	4.36E-05	-0.416742325	-7.8551255	sp|O00512|BCL9_HUMAN	sp|O00512|BCL9_HUMAN	241
0	0	0	0	0	0	0	0	0	0	0	21.5524826	0	0	0	0	0	0						1	1	1	1.8	1.8	1.8	84.347	0.0028169	1.9643	54246000	11	NaN	NaN	0	NaN	sp|O00522|KRIT1_HUMAN	sp|O00522|KRIT1_HUMAN	242
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	1.1	1.1	1.1	135.07	0.0012288	2.1599	0	2	NaN	NaN	0	NaN	sp|O00533|NCHL1_HUMAN	sp|O00533|NCHL1_HUMAN	243
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	2	2	2	68.002	0.001029	2.2264	0	1	NaN	NaN	0	NaN	sp|O00541|PESC_HUMAN	sp|O00541|PESC_HUMAN	244
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.83547401						1	1	1	3.4	3.4	3.4	32.444	0.0010333	2.2906	142560000	16	NaN	NaN	0	NaN	sp|O00560|SDCB1_HUMAN	sp|O00560|SDCB1_HUMAN	245
