Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type B1	Identification type B2	Identification type B3	Identification type H1	Identification type H2	Identification type H3	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;CON__Q3TTY5;CON__ENSEMBL:ENSBTAP00000038253;sp|P12035|K2C3_HUMAN;CON__P12035;sp|Q01546|K22O_HUMAN;CON__Q01546	sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908	6;6;6;2;1;1;1;1;1	5;5;5;2;1;1;1;1;1	5;5;5;2;1;1;1;1;1	0		0		0		0		0		0		0		sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;	9	6	5	5	1	1	2	2	3	3	0	1	2	1	2	2	0	1	2	1	2	2	9.4	8.1	8.1	65.432	639	639;639;645;707;606;628;629;638;638	0	51.283	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.3	2.2	2.8	2.7	4.2	4.5	2041800	0	0	1185600	135510	498090	222600	0	0	698260	0	0	0	0	1	2	1	1	2	7			+	10	525;663;820;1416;1480;1795	True;False;True;True;True;True	534;674;834;1441;1507;1827	965;1206;1207;1208;1209;1494;2558;2559;2683;3234;3235;3236	833;1042;1043;1319;2249;2354;2861;2862;2863	833;1043;1319;2249;2354;2863		
sp|P99999|CYC_HUMAN;CON__P62894	sp|P99999|CYC_HUMAN;CON__P62894	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P99999|CYC_HUMAN Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2;	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	10.5	10.5	10.5	11.749	105	105;105	0	6.1308					By MS/MS		0	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1			+	11	1517	True	1544	2745	2410	2410		
sp|Q04695|K1C17_HUMAN;CON__Q04695;CON__Q9QWL7;CON__P02533;sp|P02533|K1C14_HUMAN;CON__Q6IFX2;CON__P19012;CON__P08779;sp|P08779|K1C16_HUMAN;sp|P19012|K1C15_HUMAN;CON__A2A4G1;CON__Q61782;sp|P08727|K1C19_HUMAN;CON__P19001;CON__P08727;CON__Q9D312;CON__Q9Z2K1;sp|P35900|K1C20_HUMAN;CON__P35900;CON__Q3ZAW8	sp|Q04695|K1C17_HUMAN;CON__Q04695;CON__Q9QWL7	16;16;13;6;6;4;2;2;2;2;2;2;2;2;2;1;1;1;1;1	16;16;13;6;6;4;2;2;2;2;2;2;2;2;2;1;1;1;1;1	15;15;12;5;5;3;1;1;1;1;1;1;2;2;2;0;0;0;0;0	0		0		0		0		0		0		0		sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2;;	20	16	16	15	3	5	4	10	13	8	3	5	4	10	13	8	3	5	4	10	12	7	39.6	39.6	37	48.105	432	432;432;433;472;472;452;456;473;473;456;456;93;400;403;400;431;469;424;424;474	0	286.13	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.7	11.8	12.3	27.5	32.9	21.1	64095000	367270	3684300	833040	12929000	32388000	13894000	543580	3264800	357780	1078100	1837100	993290	1	5	2	10	17	9	44			+	12	142;189;207;424;455;577;941;1017;1140;1334;1497;1531;1537;1550;1569;1689	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	145;192;210;431;462;588;960;1037;1162;1358;1524;1558;1564;1577;1578;1597;1718	289;290;380;381;410;411;793;794;844;845;846;847;1057;1058;1059;1745;1885;1886;1887;1888;1889;1890;2094;2417;2418;2710;2766;2767;2768;2769;2770;2779;2780;2781;2782;2783;2800;2801;2802;2834;2835;2836;3028;3029;3030;3031;3032;3033	249;250;329;330;356;357;679;725;726;727;728;729;730;911;1538;1658;1659;1660;1661;1662;1835;2124;2379;2431;2432;2433;2442;2443;2444;2445;2446;2447;2448;2463;2464;2465;2498;2499;2500;2674;2675;2676;2677;2678;2679;2680	250;329;356;679;727;911;1538;1660;1835;2124;2379;2431;2446;2465;2500;2678	6;7	241;320
sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729;CON__Q6NXH9	sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729	18;18;16;2	17;17;15;2	17;17;15;2	0		0		0		0		0		0		0		sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;;	4	18	17	17	3	2	2	8	13	8	2	1	1	7	12	8	2	1	1	7	12	8	37.1	35.4	35.4	51.385	469	469;469;469;539	0	207.48	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	8.3	3.8	4.3	16.6	29	16.4	16955000	102140	0	12767	2884900	10966000	2989700	0	0	0	590260	332930	265220	1	1	0	7	13	7	29			+	13	132;295;574;575;791;855;864;865;942;978;984;1129;1207;1231;1395;1421;1612;1735	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True	135;301;585;586;805;870;879;880;961;998;1004;1151;1229;1253;1420;1447;1640;1765	260;561;1054;1055;1449;1450;1451;1563;1579;1580;1581;1582;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1812;1813;1821;2077;2078;2079;2209;2210;2247;2248;2249;2518;2567;2568;2569;2570;2911;3125;3126	222;486;908;909;1277;1278;1279;1376;1391;1392;1393;1394;1539;1540;1541;1596;1597;1604;1605;1817;1818;1819;1934;1966;1967;1968;2214;2257;2258;2259;2567;2763;2764	222;486;908;909;1278;1376;1391;1393;1540;1597;1605;1818;1934;1967;2214;2257;2567;2764		
CON__Q3SX28;sp|P07951|TPM2_HUMAN;sp|P09493|TPM1_HUMAN	CON__Q3SX28;sp|P07951|TPM2_HUMAN;sp|P09493|TPM1_HUMAN	4;4;2	2;2;1	2;2;1	0		0		0		0		0		0		0		;sp|P07951|TPM2_HUMAN Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1;sp|P09493|TPM1_HUMAN Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2	3	4	2	2	0	0	0	4	2	2	0	0	0	2	1	1	0	0	0	2	1	1	16.9	8.5	8.5	33.012	284	284;284;284	0	28.715				By MS/MS	By MS/MS	By MS/MS	0	0	0	16.9	8.8	8.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4			+	14	149;741;1047;1257	True;False;False;True	152;754;1067;1279	302;1362;1363;1364;1950;2293;2294;2295	260;1192;1193;1194;1710;2008;2009;2010	260;1193;1710;2009		
CON__Q3SZR3	CON__Q3SZR3	1	1	1	0		0		0		0		0		0		0			1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	8.9	8.9	8.9	23.182	202	202	0	6.0674				By MS/MS			0	0	0	8.9	0	0	119120	0	0	0	119120	0	0	0	0	0	11705	0	0	0	0	0	1	0	0	1			+	15	1193	True	1215	2191	1918	1918		
REV__sp|A0A075B6J2|LV233_HUMAN	REV__sp|A0A075B6J2|LV233_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|A0A075B6J2|LV233_HUMAN Probable non-functional immunoglobulin lambda variable 2-33 OS=Homo sapiens OX=9606 GN=IGLV2-33 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	12.686	118	118	0.0064935	5.8566					By MS/MS		0	0	0	0	0	0	103250	0	0	0	0	103250	0	0	0	0	0	5517.8	0	0	0	0	0	1	0	1		+		16	1211	True	1233	2218	1940	1940		
REV__sp|O75676|KS6A4_HUMAN	REV__sp|O75676|KS6A4_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|O75676|KS6A4_HUMAN Ribosomal protein S6 kinase alpha-4 OS=Homo sapiens OX=9606 GN=RPS6KA4 PE=1 SV=1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	85.605	772	772	0.0081037	5.8459					By matching	By MS/MS	0	0	0	0	0	0	1593000	0	0	0	0	1051300	541690	0	0	0	0	0	57786	0	0	0	0	0	1	1		+		17	1435	True	1461	2594;2595	2280	2280		
REV__sp|P29536|LMOD1_HUMAN	REV__sp|P29536|LMOD1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P29536|LMOD1_HUMAN Leiomodin-1 OS=Homo sapiens OX=9606 GN=LMOD1 PE=1 SV=3	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	67.029	600	600	0.004918	5.8656				By MS/MS			0	0	0	0	0	0	206390	0	0	0	206390	0	0	0	0	0	10140	0	0	0	0	0	1	0	0	1		+		18	839	True	853	1536;1537	1352	1352		
REV__sp|Q147U7|SMCO1_HUMAN	REV__sp|Q147U7|SMCO1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q147U7|SMCO1_HUMAN Single-pass membrane and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCO1 PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	24.597	214	214	0.0093604	5.7908					By MS/MS		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1		+		19	93	True	95	190	161	161		
REV__sp|Q8IYN0|ZN100_HUMAN	REV__sp|Q8IYN0|ZN100_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q8IYN0|ZN100_HUMAN Zinc finger protein 100 OS=Homo sapiens OX=9606 GN=ZNF100 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	62.744	542	542	0.0017889	5.9997				By MS/MS			0	0	0	0	0	0	236350	0	0	0	236350	0	0	0	0	0	11612	0	0	0	0	0	1	0	0	1		+		20	1374	True	1399	2482;2483	2186	2186		
REV__sp|Q96MX6|DAA10_HUMAN	REV__sp|Q96MX6|DAA10_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q96MX6|DAA10_HUMAN Dynein axonemal assembly factor 10 OS=Homo sapiens OX=9606 GN=DNAAF10 PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	39.74	357	357	1	-2						By MS/MS	0	0	0	0	0	0	600180	0	0	0	0	0	600180	0	0	0	0	0	64025	0	0	0	0	0	1	1	+	+		21	973	True	993	1805	1589	1589	8	134
REV__sp|Q9P2E5|CHPF2_HUMAN	REV__sp|Q9P2E5|CHPF2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|Q9P2E5|CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase OS=Homo sapiens OX=9606 GN=CHPF2 PE=2 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	85.947	772	772	0.0033113	5.8819						By MS/MS	0	0	0	0	0	0	22949	0	0	0	0	0	22949	0	0	0	0	0	2448.1	0	0	0	0	0	1	1		+		22	37	True	37	72	57	57		
sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN	sp|Q9Y536|PAL4A_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|A0A075B759|PAL4E_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|A0A075B767|PAL4H_HUMAN	2;2;2;2;1;1	1;1;1;1;0;0	1;1;1;1;0;0	0		0		0		0		0		0		0		sp|Q9Y536|PAL4A_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4A OS=Homo sapiens OX=9606 GN=PPIAL4A PE=2 SV=1;sp|P0DN26|PAL4F_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4F OS=Homo sapiens OX=9606 GN=PPIAL4F PE=3 SV=1;sp|F5H284|PAL4D_HUMAN Peptidyl	6	2	1	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	25	16.5	16.5	18.182	164	164;164;164;164;164;164	1	-2				By matching	By MS/MS		0	0	0	8.5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			23	629;694	True;False	640;705;706	1148;1263;1264	992;1092;1093	992;1092	9	61
sp|A0PK11|CLRN2_HUMAN	sp|A0PK11|CLRN2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|A0PK11|CLRN2_HUMAN Clarin-2 OS=Homo sapiens OX=9606 GN=CLRN2 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	3	3	25.446	232	232	1	-2					By MS/MS		0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	+			24	1110	True	1132	2047	1793	1793	10	1
sp|A8MX76|CAN14_HUMAN	sp|A8MX76|CAN14_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|A8MX76|CAN14_HUMAN Calpain-14 OS=Homo sapiens OX=9606 GN=CAPN14 PE=2 SV=2	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1.8	1.8	1.8	79.567	684	684	1	-2			By MS/MS				0	0	1.8	0	0	0	8487.1	0	0	8487.1	0	0	0	0	0	4998.3	0	0	0	0	0	0	0	0	0	0	+			25	1119	True	1141	2061	1804	1804	11	1
